ID,Date,Balance2,Value
ENTEL,2019-06-30,Debt,-1833404.0760000001
ENTEL,2019-09-30,Cash,-49713.081000000006
ENTEL,2019-09-30,Debt,-1906512.926
ENTEL,2019-12-31,Cash,-610122.061
ENTEL,2019-12-31,Debt,-1997815.839
ENTEL,2020-03-31,Cash,-491294.801
ENTEL,2020-03-31,Debt,-2137523.2449999996
ENTEL,2020-06-30,Cash,-418433.06100000005
ENTEL,2020-06-30,Debt,-2076743.821
ENTEL,2020-09-30,Cash,-552646.664
ENTEL,2020-09-30,Debt,-2016203.634
ENTEL,2020-12-31,Cash,-591771.325
ENTEL,2020-12-31,Debt,-1879187.5990000002
ENTEL,2021-03-31,Cash,-473367.912
ENTEL,2021-03-31,Debt,-1907236.288
ENTEL,2021-06-30,Cash,-533453.4369999999
ENTEL,2021-06-30,Debt,-1914583.388
ENTEL,2021-09-30,Cash,-541232.3030000001
ENTEL,2021-09-30,Debt,-2041291.781
ENTEL,2021-12-31,Cash,-435434.923
ENTEL,2021-12-31,Debt,-2132367.874
ENTEL,2022-03-31,Cash,-375423.74799999996
ENTEL,2022-03-31,Debt,-2135670.5100000002
ENTEL,2022-06-30,Cash,-515977.69499999995
ENTEL,2022-06-30,Debt,-2509000.279
ENTEL,2022-09-30,Cash,-509947.647
ENTEL,2022-09-30,Debt,-2603479.5140000004
ENTEL,2022-12-31,Cash,-353689.798
ENTEL,2022-12-31,Debt,-2220937.683
ENTEL,2023-03-31,Cash,-250851.023
ENTEL,2023-03-31,Debt,-2118007.975
ENTEL,2023-06-30,Cash,-215758.16700000002
ENTEL,2023-06-30,Debt,-2160313.398
ENTEL,2023-09-30,Cash,-385640.247
ENTEL,2023-09-30,Debt,-2296501.894
ENTEL,2023-12-31,Cash,-701749.72
ENTEL,2023-12-31,Debt,-2113578.359
ENTEL,2024-03-31,Cash,-657027.2069999999
ENTEL,2024-03-31,Debt,-2244511.483
ENTEL,2024-06-30,Cash,-480577.646
